Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Kindertagesst. Kirchspiel Westönnen e.V.. Westönnen;Breite Straße 17;59457;Werl;kita-westoennen@werlcom.biz;02922/85747;Kindertagesstätte Kirchspiel Westönnen e.V.;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindertagesstätte &quot;Mini-Max&quot; Wimbern";Mendener Straße 48 a;58739;Wickede (Ruhr);info@kitaminimax.de;02377-910133;"Verein &quot;Kindertagesstätte Wickede / Ruhr e.V.&quot; Wimbern";nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindertagesstätte &quot;Little Foot&quot; Werl";Schützenstraße 36;59457;Werl;info@kita-little-foot.de;02922/85355;Elterninitiative Werl e.V.. Werl;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Barbara. Langeneicke;Barbarastraße 3;59590;Geseke;barbara-geseke@kath-kitas-hellweg.de;02942/1444;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindertagesstätte Kinderstube-Villa-Kunterbunt Geseke;Störmeder Strasse 58 a;59590;Geseke;kinderstube-villa-kunterbunt@t-online.de;02942/7629;"Trägerverein &quot;Kinderstube Villa Kunterbunt e.V.&quot; Geseke";nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Clemens Kallenhardt;Kirchstr. 4;59602;Rüthen;clemens-ruethen@kath-kitas-hellweg.de;02902/4220;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Ev. Kindertagesstätte &quot;Regenbogen&quot; Bad Westernkotten";Am Zehnthof 3;59597;Erwitte;regenbogen.bwk@kindergartenverbund.de;02943/6022;Kirchenkreis Soest. Kindergartenträgerverbund;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten Maria Frieden Geseke;Schneidweg 9;59590;Geseke;maria-frieden-geseke@kath-kitas-hellweg.de;02942/8658;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Integrative Schwerpunkteinrichtung Kiebitzweg Kindertagesstätte Werl-Nord II;Kiebitzweg 10;59457;Werl;familienzentrum-nord-2@kita-werl.de;02922 1254;Kindertagesstätte Werl-Nord e.V.;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Stiftskindergarten St. Cyriakus Geseke;An der Abtei 2;59590;Geseke;cyriakus-geseke@kath-kitas-hellweg.de;02942/8596;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Ev. Kindertagesstätte &quot;Senfkorn&quot; Geseke";Stockheimer Straße 24;59590;Geseke;senfkorn.geseke@kindergartenverbund.de;02942/77488;Kirchenkreis Soest. Kindergartenträgerverbund;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Josef Geseke;Auf den Strickern 30;59590;Geseke;josef-geseke@kath-kitas-hellweg.de;02942/1488;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Marienkindergarten. Erwitte;Bachstraße 13;59597;Erwitte;marienkindergarten.erwitte@gmail.com;02943/528590;von Hoerdesche Stiftung;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindertagesstätte und Familienzentrum Tausendfüßler Welver ;Lindenstraße 1;59514;Welver;familienzentrum-tausendfuessler@welver.de;02384/5570;Gemeinde Welver;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindertagesstätte Pusteblume Parsit;Fasanenweg 13;59469;Ense;kg.pusteblume@googlemail.com;02938-1039;Gemeinde Ense;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindertagesstätte &quot;Entenhausen&quot; Körbecke";Ober der Kluse 1;59519;Möhnesee;tfk-entenhausen@t-online.de;02924-2820;PariAktiv gGmbH Gemeinnützige Gesellschaft für Paritätische Sozialdienste im Kreis Soest / Hochsauerlandkreis;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Elisabeth Bad Westernkotten;Bredenollgasse 3;59597;Erwitte;elisabeth-erwitte@kath-kitas-hellweg.de;02943/2194;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindertagesstätte Blauland Anröchte;Marienweg 4;59609;Anröchte;kita-blauland-anroechte@t-online.de;02947/3730;"Elterninitiative &quot;Kinderbetreuung e.V.&quot; Anröchte";nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. St. Marienkindergarten Anröchte;Hospitalstr. 11;59609;Anröchte;marien-anroechte@kath-kitas-hellweg.de;02947/3232;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Städtischer Kindergarten &quot;Zwergenland&quot; Altenrüthen";Stefanusstraße 3;59602;Rüthen;zwergenland.altenruethen@freenet.de;02952/3025;Stadt Rüthen;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindertagesstätte &quot;Strolchhausen&quot; Geseke";Am Freistuhl 6;59590;Geseke;strolchhausen@t-online.de;02942-7109;PariAktiv gGmbH Gemeinnützige Gesellschaft für Paritätische Sozialdienste im Kreis Soest / Hochsauerlandkreis;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Städtischer Kindergarten Störmede;Kirchstraße 8;59590;Geseke;kindergarten-stoermede@t-online.de;02942/4555;Stadt Geseke;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
INI Salinen-Kindergarten Bad Sassendorf;Hepper Straße 3b / Wiesenstraße 12;59505;Bad Sassendorf;manuela.schulze@ini.de;02921-9438517;INITEC Gesellschaft für Ausbildung und Arbeit mbH(gemeinützig);nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Josef Erwitte;Appelteweg 14;59597;Erwitte;josef-erwitte@kath-kitas-hellweg.de;02943/7300;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Josef Rüthen;Windpothstraße 1;59602;Rüthen;kindergarten.ruethen@t-online.de;02952/2715;Kath. Kirchengemeinde St. Johannes u. Nikolaus Rüthen;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. St. Marien-Kindergarten Rüthen;Kettlerstr. 3;59602;Rüthen;kiga.st.marien-ruethen@arcor.de;02952/3021;Kath. Kirchengemeinde St. Johannes u. Nikolaus Rüthen;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Cyriakus Horn;Am Kindergarten 2;59597;Erwitte;cyriakus-horn@kath-kitas-hellweg.de;02945/2683;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Gemeindekindergarten Berge;Buschweg 3;59609;Anröchte-Berge;r.lohoff@anroechte.de;02947/888-500;Gemeinde Anröchte;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Städtischer Kindergarten &quot;Löwenzahn&quot; Westereiden";Im Stieken 9;59602;Rüthen;loewenzahn.westereiden@t-online.de;02954/560;Stadt Rüthen;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Gemeindekindergarten Anröchte;Im Hagen 5;59609;Anröchte;r.lohoff@anroechte.de;02947/888-500;Gemeinde Anröchte;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Gemeindekindergarten Altengeseke;Steinbreite 3;59609;Anröchte-Altengeseke;r.lohoff@anroechte.de;02947/888-500;Gemeinde Anröchte;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Gemeindekindergarten Mellrich;Gartenstraße 1;59609;Anröchte-Mellrich;r.lohoff@anroechte.de;02947/888-500;Gemeinde Anröchte;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Städtischer Kindergarten Ehringhausen;Triftweg 68;59590;Geseke;kindergarten-ehringhausen@t-online.de;02942 1309;Stadt Geseke;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Städtischer Kindergarten Erwitte;Kiefernallee 11;59597;Erwitte;post@kita-stadt-erwitte.de;02943/3310;Stadt Erwitte;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Gemeindekindergarten &quot;Regenbogen&quot; Wiehagen";Wickeder Straße 13;58739;Wickede (Ruhr);regenbogenkiga13@arcor.de;02377/2254;Gemeinde Wickede (Ruhr);nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Cäcilia Westönnen;Westönner Bachstraße 5;59457;Werl;caecilia.kiga@westoennen.de;02922/2543;Kath. Kirchengemeinde St. Walburga Werl;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Marien Wickede;Untere Holmkestr. 13;58739;Wickede (Ruhr);marien-wickede@kath-kitas-hellweg.de;02377/3335;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Josef Wickede;Friedhofstr. 19;58739;Wickede (Ruhr);josef-wickede@kath-kitas-hellweg.de;02377/3187;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Antonius Wickede;Hohe Str. 22 a;58739;Wickede (Ruhr);antonius-wickede@kath-kitas-hellweg.de;02377/3089;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Bernhard Welver;Klosterhof 11;59514;Welver;kiga.st.bernhard.welver@web.de;02384/613;Kath. Kirchengemeinde St. Maria Welver;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Walburga Werl;Soester Str.;59457;Werl;walburga-werl@kath-kitas-hellweg.de;02922/5535;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Peter Werl;Olakenweg 5;59457;Werl;ulrike.leder@kigapeter1.de;02922/872222;Kath. Kirchengemeinde St. Walburga Werl;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
St. Vinzenz-Kindergarten Werl;Schloßgassenpfad;59457;Werl;info@vinzenz-kiga.de;02922/5672;Maria Anna Heese'sche Stiftung;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten David. Weslarn;Dorfstraße 26;59505;Bad Sassendorf;david.weslarn@kindergartenverbund.de;02921/55397;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Vinzenz Büderich;Schlesienstr. 1;59457;Werl;vinzenz-buederich@kath-kitas-hellweg.de;02922/4535;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten Jona. Lohne;Teichstraße 3;59505;Bad Sassendorf;jona.bad-sassendorf@kindergartenverbund.de;02921/5619;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Ev. Kindergarten &quot;Burgelon&quot; Borgeln";Bördestraße 74;59514;Welver;burgelon.borgeln@kindergartenverbund.de;02921/8723;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Josef Günne;Zum Haarstrang 1;59519;Möhnesee;josef-guenne@kath-kitas-hellweg.de;02924/472;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Pankratius Körbecke;Hospitalstraße 3;59519;Möhnesee;pankratius-koerbecke@kath-kitas-hellweg.de;02924/7725;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Stephanus Oestinghausen;Hovestädter Str. 3;59510;Lippetal;stephanus-lippetal@kath-kitas-hellweg.de;02923/1443;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten Tausendfüßler.  Bettinghausen;Ostermannstrasse 8;59505;Bad Sassendorf;tausendfuessler.bettinghausen@kindergartenverbund.de;02945-2665;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Martini-Kindergarten Werl;Paul-Gerhardt-Straße 15;59457;Werl;martinikiga-werl@t-online.de;02922/3227;Ev. Kirchengemeinde Werl;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten Brockhausen-Thöningsen;Brockhauser Straße 23;59510;Lippetal;kindergarten-brockhausen@t-online.de;02923/1717;Ev. Kindergartenverein Brockhausen-Thöningsen e.V.;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Lambertus Bremen;Werler Str.3a;59469;Ense;lambertus-bremen@kath-kitas-hellweg.de;02938/1823;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Johannes-Kindergarten Neuengeseke;Schluppergasse 4;59505;Bad Sassendorf;johannes.neuengeseke@kindergartenverbund.de;02927/270;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Bernhard Niederense;Lindenweg 16;59469;Ense;bernhard-niederense@kath-kitas-hellweg.de;02938/1205;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Antonius Sönnern;Antoniusstr. 58;59457;Werl;antonius-soennern@kath-kitas-hellweg.de;02922/6622;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"&quot;Salzbachstrolche&quot; Kommunaler Kindergarten Scheidingen";Schützenstraße 4;59514;Welver;kindergarten-scheidingen@welver.de;02384/2315;Gemeinde Welver;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Norbert Werl;Unnaer Str. 38;59457;Werl;kiga-st.norbert@werlcom.biz;02922/4923;Kath. Kirchengemeinde St. Walburga Werl;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Albertus Hovestadt;Nordwalder Str. 17;59510;Lippetal;albertus-lippetal@kath-kitas-hellweg.de;02923/7899;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten St. Othmar.  Dinker;Feldstraße 2a;59514;Welver;othmar.dinker@kindergartenverbund.de;02384/1315;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Josef Höingen;Burgstraße 21;59469;Ense;josef-hoeingen@kath-kitas-hellweg.de;02938/1223;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Gemeindekindergarten Bilme;Bilmer Strasse 34;59469;Ense;villakunterbuntbilme@gmx.de;02928-413;Gemeinde Ense;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Ida Herzfeld;St. Ida - Straße 1;59510;Lippetal;Kita.stida-herzfeld@bistum-muenster.de;02923/1333;Kath. Kirchengemeinde St. Ida in Herzfeld und Lippborg;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kath. Kindergarten St. Marien Lippborg;Blaufärberstraße 7;59510;Lippetal;kita.stmarien@bistum-muenster.de;02527-692;Kath. Kirchengemeinde St. Ida in Herzfeld und Lippborg;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Bertgerus Kindergarten;Lippstädter Straße 12;59510;Lippetal;kita.bertgerus-herzfeld@bistum-muenster.de;02923/1448;Kath. Kirchengemeinde St. Ida in Herzfeld und Lippborg;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Gemeindekindergarten &quot;Lummerland&quot; Lüttringen";Am Gelke 12;59469;Ense;jim.knopf.ense@gmx.de;02938-661;Gemeinde Ense;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Gemeindekindergarten &quot;Max und Moritz&quot; Echthausen";Hüttmesweg 2;58739;Wickede (Ruhr);kindergarten-echthausen@arcor.de;02377/2883;Gemeinde Wickede (Ruhr);nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
St. Barbara Kindergarten Hultrop;St.-Barbara-Str. 2;59510;Lippetal;berntzen@caritas-soest.de;02527-690;Caritasverband für den Kreis Soest e.V.;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Ev. Kindergarten &quot;Schilfkorb&quot; Welver";Reiherstr. 9;59514;Welver;schilfkorb.welver@kindergartenverbund.de;02384/875;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Familienzentrum Johanna Volke;Lohner Höhe 5;59505;Bad Sassendorf;johanna-volke.bad-sassendorf@kindergartenverbund.de;02921/51290;Kirchenkreis Soest. Kindergartenträgerverbund;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Kindergarten Saatkorn Hilbeck;Grachtweg 7;59457;Werl;HAM-KITA-Saatkorn@kirchenkreis-hamm.de;02922/6441;Ev. Kirchenkreis Hamm (18);nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
St. Michael-Kindergarten;Hohe Fahrt 30;59457;Werl;info@kiga-michael.de;02922/84550;Maria Anna Heese'sche Stiftung;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Ev. Severin-Kindergarten Schwefe;Zum Spielplatz 8;59514;Welver;severin.schwefe@kindergartenverbund.de;02921/62799;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindergarten &quot;Spatzenhausen&quot; Lippborg";Klusenbreede 12;59510;Lippetal;elisabeth.langer@parisozial.de;02527-206;PariAktiv gGmbH Gemeinnützige Gesellschaft für Paritätische Sozialdienste im Kreis Soest / Hochsauerlandkreis;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Rudolf-Steiner-Kindergarten Lohne;Hellweg 44 c;59505;Bad Sassendorf;r.steinerkindergarten@web.de;02921/53496;"&quot;Drei Quellen&quot; Verein zur Förderung der Pädagogik Rudolf Steiners e.V.";nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
St. Christophorus Kindergarten Ostinghausen;Hauptstraße 12 b;59505;Bad Sassendorf;christophorus-ostinghausen@kath-kitas-hellweg.de;02945/1544;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Ev. Kindergarten &quot;Die Arche&quot; Völlinghausen";Syringer Straße 28a;59519;Möhnesee;arche.moehnesee@kindergartenverbund.de;02925/2118;Kirchenkreis Soest. Kindergartenträgerverbund;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindertageseinrichtung &quot;Wichtelhausen&quot; Werl";Langenwiedenweg 9;59457;Werl;elisabeth.langer@parisozial.de;02922-83859;PariAktiv gGmbH Gemeinnützige Gesellschaft für Paritätische Sozialdienste im Kreis Soest / Hochsauerlandkreis;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Marianne-Heese-Kindergarten Werl;Westuffler Weg 15;59457;Werl;agnes_maria.fuchs@marianne-heese-kindergarten.de;02922/82207;Maria Anna Heese'sche Stiftung;ja;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
"Kindergarten &quot;Die Bremer Stadtmusikanten&quot; Bremen";Werler Straße 14;59469;Ense;bremer-stadtmusikanten@t-online.de;02938/484348;Elterninitiative Kindergarten Bremen e.V.;nein;Kreisverwaltung Soest;Hoher Weg 1-3;59494;Soest
Kindergarten St. Bruno. Soest;Walenweg 5;59494;Soest;bruno-soest@kath-kitas-hellweg.de;02921/73524;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindertagesstätte Talitha Kumi ;Hamburger Str. 5;59494;Soest;talithakumi3@web.de;02921/789411;Ev. Kindergartenverein Soester Süden e.V. Talitha Kumi;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindertageseinrichtung Sonnenborg Familienzentrum;Auf der Borg 20a;59494;Soest;info@kita-sonnenborg.de;02921/14271;Ev. Versorgungshaus-Verein für Westf. e. V.;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindergarten St. Nikolai. Soest;Goebel-Steyes-Weg 2;59494;Soest;nikolai-soest@kath-kitas-hellweg.de;02921/15209;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindertagesstätte Am Wiesengraben;Oberkirchweg 4;59494;Soest;wiesengraben@kindergartenverein.de;02921/77797;Ev. Kindergartenverein Soest e.V.;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindergarten St. Albertus Magnus. Soest;Im Tabrock 8;59494;Soest;albertus-magnus-soest@kath-kitas-hellweg.de;02921/8871;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindertagesstätte Zappelphillipp;Kleine Gasse 9;59494;Soest ;kita-zappelphillipp@gmx.de;02921-60865;Kindertagesstätte  Zappelphilipp e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Evgl. Kindergarten &quot;Im Tabrock 12&quot;";Im Tabrock 12;59494;Soest;tabrock@kindergartenverein.de;02921/8800;Ev. Kindergartenverein Soest e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"AWO Kindergarten und Familienzentrum &quot;Mullewapp&quot;";Eberhard-Viegener-Weg 12;59494;Soest;kg-mullewapp@die-awo.de;02921/65599;Arbeiterwohlfahrt Unterbezirk Hochsauerland / Soest JA Stadt Soest;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Ev. Kindertagesstätte Im Lütgengrandweg;Lütgengrandweg 5;59494;Soest;luetgen-grandweg@kindergartenverein.de;02921/15457;Ev. Kindergartenverein Soest e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Paradies-Kindergarten;Geschwister-Scholl-Str. 2;59494;Soest;u.vogel@paradieskindergarten.de;02921/665179;Ev. Versorgungshaus-Verein für Westf. e. V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Ev. Kindergarten &quot;Sonnenkamp&quot;";Müllingser Weg 64;59494;Soest;kiga-sonnenkamp@gmx.de;02921/73218;Ev. Kirchengemeinde Johannes. Sonnenkamp;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Familienzentrum &quot;Der kleinen Bürger&quot;";Bürgerschützenweg 4;59494;Soest;d.kleinebuerger@soestcom.biz;02921 62010;Christl. Kindertageseinrichtung e.V. Frau Steinfeld-Hösel;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Ev. Regenbogen-Kindergarten;Haarhofsgasse 9a;59494;Soest;regenbogen.soest@kindergartenverbund.de;02921/13933;Ev. Kindergarten Regenbogen Soest. Kindergartenträgerverbund;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Tageseinrichtung &quot;Am Teinenkamp&quot;";Teinenkamp 10;59494;Soest;kindergarten-teinenkamp@web.de;02921 / 84428;Christl. Eltern-und Förderverein Soester Norden e.V. (c/o PeterSchmitz);nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Ev. Kindergarten &quot;Kleeblatt&quot;";Am Hellweg 21;59494;Soest;kindergarten-kleeblatt-ampen@t-online.de;02921/61280;Ev. Kindergartenverein Soester Börde e.V. Ampen;ja;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Christliche Kindertagesstätte Sonnenschein;Emdenstraße 14;59494;Soest;leitung@kita-sonnenschein.com;02921 34 53 305;KiTa Sonnenschein e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Kindergarten Schwemeckerweg e. V. &quot;Villa Kunterbunt&quot;";Schwemeckerweg 3 b;59494;Soest;carsten_kirsten@hotmail.com;02921-666766;Kindergarten Schwemecker Weg e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kath. Kindergarten Hl. Kreuz;Paradieser Weg 58;59494;Soest;info@gemeindeverband-hellweg.de;02921/60414;Kath. Kirchengemeinde Hl.-Kreuz;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Ev. Kindergarten &quot;Am Gotlandweg&quot;";Gotlandweg 61a;59494;Soest;gotlandweg.soest@kka-onlinde.de;02921/75545;Ev. Johannes-Kirchengemeinde. Gotlandweg;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindergarten St. Patroklus. ;Schonekindstr. 27;59494;Soest;patroklus-soest@kath-kitas-soest.de;02921/13502;Kath. Kindertageseinrichtungen Hellweg gem. GmbH ;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Ev. Kindergarten &quot;Löwenzahn&quot;";Rottlandweg 2;59494;Soest;loewenzahn.soest@kindergartenverbund.de;02921/8551;Ev. Kindergarten Löwenzahn Soest. Kindergartenträgerverbund;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Evangelischer Kindergarten Deiringsen e. V.;Schützenhofstr. 4;59494;Soest;kiga-deiringsen@gmx.de;02921-63737;Ev. Kindergartenverein Deiringsen e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Ev. Kindergarten Müllingsen;Bördenstr. 31;59494;Soest;kiga.muellingsen@t-online.de;02921/71787;Ev. Kindergartenverein Müllingsen e.V.;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
Kindergarten Hattrop;Lerchenweg 8;59494;Soest;kigalerchennest-hattrop@versanet.de;292160602;Verein Kindergarten Hattrop e.V. Soest;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
"Ev. Kindergarten &quot;Spatzennest&quot;";Am Weinberg 3;59494;Soest-Ostönnen;spatzennest.ostoennen@kindergartenverbund.de;02928/395;Ev. Kindergarten Spatzennest Ostönnen. Kindergartenträgerverbund;nein;Stadtverwaltung Soest;Am Vreithof 8;59494;Soest
